,X,Y,Date,Hectare Squirrel Number
count,3023.0,3023.0,3023.0,3023.0
mean,-73.96718384639159,40.780853006452176,10119487.401257029,4.123718160767449
std,0.0077263059167428745,0.01028525140847277,42466.714959165256,3.0964919738259544
min,-73.9811585807616,40.7649106677138,10062018.0,1.0
25%,-73.97310197491984,40.771676087227505,10082018.0,2.0
50%,-73.9685940262068,40.7781658424866,10122018.0,3.0
75%,-73.96018851993574,40.791218623742196,10142018.0,6.0
max,-73.9497217674555,40.8001185184892,10202018.0,23.0
